scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,353.23279547691345,143.13373970985413,1.0,387.5991169512272,128.29557085037231,1.0,441.7811346054077,132.660718023777,1.0,474.7556908130646,142.67683386802673,1.0
1,352.42357325553894,142.94220447540283,1.0,387.16838878393173,128.3891978263855,1.0,441.89526081085205,134.6763219833374,1.0,472.7519807815552,142.10737442970276,1.0
2,351.73751735687256,141.95062136650085,1.0,386.7627238035202,128.17645406723022,1.0,441.20260524749756,135.51169848442078,1.0,472.83252906799316,142.3800826072693,1.0
3,351.1737871170044,141.09338927268982,1.0,386.654456615448,128.78041648864746,1.0,441.5706605911255,136.88923025131226,1.0,473.50185108184814,142.72692608833313,1.0
4,352.41370606422424,140.91590303182602,1.0,387.21813774108887,128.94818782806396,1.0,440.24036979675293,137.73673152923584,1.0,473.94690561294556,143.03333377838135,1.0
5,352.5278387069702,140.32858794927597,1.0,387.1934695839882,128.86319398880005,1.0,441.59185552597046,139.65245547890663,1.0,475.1345429420471,143.43814635276794,1.0
6,351.6425862312317,138.66890239715576,1.0,387.3583662509918,128.40509843826294,1.0,440.39660930633545,140.20874927937984,1.0,475.13328742980957,143.28017616271973,1.0
7,352.16431069374084,139.27943658828735,1.0,387.55915719270706,128.4579267501831,1.0,440.68852376937866,139.94320330396295,1.0,475.33375310897827,143.33360242843628,1.0
8,352.54156494140625,139.8441128730774,1.0,387.66754126548767,128.56411743164062,1.0,441.31322717666626,139.82568788528442,1.0,475.5136122107506,143.37942934036255,1.0
9,352.6614627838135,139.50140237808228,1.0,387.88586466014385,128.4903130531311,1.0,440.8019828796387,139.60211050510406,1.0,475.7042430341244,143.32524013519287,1.0
10,352.6379451751709,139.168532371521,1.0,388.04197581484914,128.313214302063,1.0,441.2119174003601,139.79092931747437,1.0,475.97829462215304,143.24918961524963,1.0
11,352.8272316455841,138.99873971939087,1.0,388.20683082938194,128.2777624130249,1.0,441.024121761322,139.9361424446106,1.0,476.1977719068527,143.2893934249878,1.0
12,352.9354248046875,138.82855463027954,1.0,388.3316490650177,128.15914154052734,1.0,441.1595480442047,139.8109531402588,1.0,476.35575634241104,143.26596355438232,1.0
13,353.0290513038635,138.62008237838745,1.0,388.3271082341671,128.107177734375,1.0,440.71680545806885,139.6638125181198,1.0,476.46777108311653,143.31693935394287,1.0
14,352.9785237312317,138.445152759552,1.0,388.3369471132755,128.0354552268982,1.0,440.6660785675049,139.58037185668945,1.0,476.6424388885498,143.35777616500854,1.0
15,353.1397969722748,138.2019805908203,1.0,388.3762891590595,127.94934153556824,1.0,440.9491744041443,139.9295220375061,1.0,476.70632898807526,143.3198709487915,1.0
16,353.106974363327,137.99569129943848,1.0,388.33132165670395,127.91701292991638,1.0,440.9876823425293,139.9490704536438,1.0,476.951031267643,143.3385775089264,1.0
17,352.80975103378296,137.94811391830444,1.0,388.5376757979393,128.11653470993042,1.0,440.94712591171265,140.05017375946045,1.0,476.9813731908798,143.27683019638062,1.0
18,352.81523609161377,137.91134119033813,1.0,388.38039150834084,128.18013525009155,1.0,441.3020853996277,140.10686874389648,1.0,477.36107671260834,143.2743957042694,1.0
19,352.8800859451294,137.78092622756958,1.0,388.56492191553116,128.10256242752075,1.0,440.8457431793213,139.81020125746727,1.0,477.61941516399384,143.16262555122375,1.0
20,352.9894413948059,137.6062331199646,1.0,388.5966787338257,128.1251621246338,1.0,441.360577583313,140.14950275421143,1.0,477.7934982776642,143.15500593185425,1.0
21,353.0647134780884,137.75357103347778,1.0,388.7431853413582,128.0532259941101,1.0,441.5870854854584,139.96609115600586,1.0,477.5964013338089,143.0178861618042,1.0
22,353.09918117523193,137.65085363388062,1.0,388.68143022060394,128.24947547912598,1.0,441.5335931777954,139.93729400634766,1.0,477.433097243309,143.07354855537415,1.0
23,353.31335043907166,137.4278802871704,1.0,388.7608119249344,128.24187421798706,1.0,441.2879648208618,139.89241456985474,1.0,477.1955293416977,143.07297229766846,1.0
24,353.29877853393555,137.05686712265015,1.0,388.77526384592056,128.23317050933838,1.0,441.38801622390747,139.86040687561035,1.0,477.16567409038544,143.08027386665344,1.0
25,353.0891089439392,137.44979667663574,1.0,388.76985692977905,128.18125867843628,1.0,441.29018449783325,139.76189851760864,1.0,477.08692705631256,143.19241404533386,1.0
26,353.13035917282104,137.4705753326416,1.0,388.8486163020134,128.23464727401733,1.0,441.28164768218994,139.88085985183716,1.0,477.3707175254822,143.0239758491516,1.0
27,353.29793071746826,137.15439319610596,1.0,388.8128491640091,128.16003322601318,1.0,441.344838142395,139.72472143173218,1.0,477.28342854976654,143.2127342224121,1.0
