scorer,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000,DeepCut_resnet50_cfos-loomingJul22shuffle1_1030000
bodyparts,nose,nose,nose,body,body,body,mid-tail,mid-tail,mid-tail,end-tail,end-tail,end-tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,413.3473918437958,218.54005002975464,0.9999998807907104,391.045622587204,251.67401504516602,1.0,418.12886917591095,320.57112407684326,0.9999954104423523,439.5741662979126,348.86509388685226,0.9999771118164062
1,415.5587022304535,217.4294376373291,0.9999998807907104,391.4461553096771,248.88740587234497,1.0,412.5925399661064,317.42516589164734,0.9999955892562866,435.31361854076385,348.6420661211014,0.9999995231628418
2,417.1200361251831,216.42041635513306,1.0,391.8088803291321,247.41162538528442,1.0,409.2987542152405,317.1568591594696,0.9999959468841553,433.0724928379059,347.8203252106905,0.9999129772186279
3,416.99821162223816,214.19100904464722,1.0,391.53520250320435,246.25686645507812,1.0,406.474050283432,315.2123665213585,0.999998927116394,426.58171558380127,345.03903818130493,0.999756932258606
4,417.93137979507446,213.3300859928131,1.0,391.6059465408325,246.01275730133057,1.0,404.88534516096115,315.37053459882736,0.9999995827674866,425.8249526023865,347.4206213951111,0.9999911785125732
5,415.95018887519836,214.0453314781189,0.9999998807907104,391.13101148605347,246.15798783302307,1.0,403.59093734622,314.9558678865433,0.9999995827674866,422.57273721694946,345.7235436439514,0.9999946355819702
6,413.98406851291656,214.61606359481812,0.9999998807907104,390.7341728210449,246.60203289985657,1.0,402.89297235012054,314.8218324184418,0.9999996423721313,422.2720572948456,345.92121171951294,0.9999961853027344
7,413.34940707683563,215.02536273002625,0.9999999403953552,390.3014326095581,247.4140441417694,1.0,398.27973461151123,312.2388834953308,0.9999990463256836,421.25936579704285,344.8852536678314,0.9999722242355347
8,412.53296130895615,215.65418767929077,0.9999998807907104,390.1883945465088,248.18862199783325,1.0,398.2629373073578,314.882759809494,0.9999997019767761,420.3039028942585,346.3390736579895,0.9996700882911682
9,412.6993849873543,216.53375911712646,0.9999998211860657,390.13489031791687,248.7039065361023,1.0,396.8995390534401,315.7150005996227,0.9999998807907104,418.1568087339401,349.2867623567581,0.9999913573265076
10,412.93297135829926,217.75294756889343,0.9999991655349731,389.99038887023926,249.89644861221313,1.0,396.1827879548073,316.81530100107193,0.9999999403953552,415.9497170448303,351.5340847969055,0.9999713897705078
11,413.16811060905457,218.6804986000061,0.9999996423721313,389.95954060554504,251.02451515197754,1.0,396.03261334076524,317.0882295370102,0.9999999403953552,416.754390001297,351.80035066604614,0.999992847442627
12,413.0576447248459,218.98801517486572,0.9999996423721313,389.79407608509064,251.27313899993896,1.0,395.83709190785885,317.0930372476578,0.9999997615814209,418.00273048877716,351.6949782371521,0.9999908804893494
13,411.933179654181,219.04643297195435,0.9999991059303284,389.7091987133026,251.70470666885376,1.0,395.992268295493,318.41455245018005,1.0,419.1729145050049,352.63496112823486,0.9999992847442627
14,413.0319721698761,220.1079604551196,0.9999977350234985,389.3970659971237,250.34264075756073,1.0,395.89625572413206,318.63725304603577,0.9999999403953552,420.0894356071949,353.4352116584778,0.999999463558197
15,414.3629403114319,221.34925734996796,0.9999971389770508,389.24749529361725,250.25123345851898,1.0,395.5319858491421,318.0156753063202,0.9999999403953552,419.45904541015625,352.02736949920654,0.9999955892562866
16,413.0615676641464,219.18475931882858,0.9999873638153076,389.2786657810211,251.34728336334229,1.0,394.93561375141144,318.0344777107239,0.9999998807907104,419.63749554753304,352.48445296287537,0.9999985694885254
17,411.0831367969513,215.7395830154419,0.9999975562095642,389.67837595939636,249.46904134750366,1.0,394.43348038196564,317.22039127349854,0.9999998807907104,417.58874797821045,351.5942816734314,0.9999978542327881
18,410.4394807815552,213.2969455718994,0.9997014403343201,389.6004693508148,247.13963985443115,1.0,392.82221269607544,315.05550932884216,0.9999998807907104,417.3303382396698,350.07647800445557,0.9999988079071045
19,412.4583788514137,212.12999340891838,0.9998278617858887,390.4148519039154,243.8152704834938,1.0,391.9433562755585,312.60461044311523,0.9999999403953552,412.2180854231119,350.131489276886,0.9999989867210388
20,412.3519532382488,209.64462447166443,0.9996904134750366,390.5148365497589,241.80374765396118,1.0,391.4058749675751,310.7525386810303,0.9999999403953552,412.21625961363316,346.92328691482544,0.9999924898147583
21,413.34375262260437,208.5816831588745,0.9982986450195312,390.81752848625183,239.65255570411682,1.0,390.9673504829407,307.74756667017937,1.0,411.473896086216,341.0757244825363,0.9997242093086243
22,413.27350294589996,205.86011838912964,0.9939522743225098,391.3897485733032,237.8813760280609,1.0,391.1636083126068,306.15359830856323,1.0,411.10550290346146,337.7181749343872,0.9999966621398926
23,414.7022054195404,205.75687313079834,0.9979669451713562,391.1345212459564,237.4478975534439,1.0,388.27178889513016,304.3108630180359,1.0,408.70290541648865,336.20357036590576,0.9994149804115295
